name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,230,856528173,,yes,,,"POLYGON ((103.8160695 36.0486785, 103.8159836 36.0486293, 103.815632 36.0489564, 103.8157987 36.0490829, 103.8158596 36.0490336, 103.8157539 36.0489531, 103.8160423 36.0487149, 103.8160695 36.0486785))",POINT (103.8158411 36.0488493),538.8,5799.1
,231,886496350,,yes,,,"POLYGON ((103.7190378 36.1436213, 103.7193824 36.1436148, 103.7193794 36.1435102, 103.7190347 36.1435167, 103.7190378 36.1436213))",POINT (103.7192086 36.1435657),359.8,3873.3
,232,825490727,,yes,,,"POLYGON ((103.8249542 36.1131236, 103.8250265 36.1131031, 103.824977 36.1129893, 103.8249047 36.1130098, 103.8249542 36.1131236))",POINT (103.8249656 36.1130565),92.3,994.0
砺志楼,233,417924881,,yes,,,"POLYGON ((103.7392639 36.0576218, 103.7391905 36.0576438, 103.7392045 36.0576764, 103.7392049 36.0577109, 103.7391918 36.0577437, 103.7391665 36.0577715, 103.7391315 36.0577913, 103.73922 36.0579648, 103.7393071 36.0579303, 103.7393777 36.0578765, 103.7394252 36.0578081, 103.7394455 36.0577315, 103.7394368 36.0576534, 103.7394003 36.057582, 103.7394851 36.057553, 103.7393177 36.057233, 103.7393256 36.057228, 103.7393311 36.0572213, 103.7393336 36.0572134, 103.7393329 36.0572053, 103.739329 36.0571979, 103.7393223 36.0571918, 103.7393136 36.0571878, 103.7393037 36.0571863, 103.7392938 36.0571874, 103.7392348 36.0572113, 103.7390828 36.0570864, 103.7389558 36.0569445, 103.7389049 36.0568708, 103.7388938 36.0568558, 103.7388857 36.0568585, 103.7388379 36.0567673, 103.7384964 36.0568841, 103.7385093 36.0569087, 103.7383101 36.0569768, 103.7383738 36.0570985, 103.738573 36.0570304, 103.738587 36.0570573, 103.7387278 36.0570091, 103.7388811 36.057302, 103.7389564 36.0572763, 103.7389939 36.057348, 103.7391014 36.0573112, 103.7392639 36.0576218))",POINT (103.7390238 36.0572796),3745.3,40314.6
,234,762614243,,apartments,,,"POLYGON ((94.6602523 40.1347171, 94.66024299999999 40.134801, 94.6607767 40.1348358, 94.6607861 40.1347519, 94.6602523 40.1347171))",POINT (94.66051450000001 40.1347764),432.6,4656.5
,235,407488598,,yes,,,"POLYGON ((103.8025289 36.0915466, 103.802056 36.0914986, 103.8020354 36.0916311, 103.8025083 36.0916792, 103.8025289 36.0915466))",POINT (103.8022822 36.0915889),635.6,6841.3
,236,421246847,,apartments,,,"POLYGON ((103.7677896 36.078077, 103.7677532 36.0782027, 103.7680965 36.0782677, 103.7681329 36.078142, 103.7677896 36.078077))",POINT (103.767943 36.0781724),453.9,4886.1
,237,776193045,,yes,,,"POLYGON ((103.8480064 36.0504955, 103.8481685 36.0505448, 103.8482317 36.0504088, 103.8480697 36.0503595, 103.8480064 36.0504955))",POINT (103.8481191 36.0504522),251.2,2704.3
,238,948574845,,residential,,,"POLYGON ((102.6385014 34.089847, 102.6384778 34.0897736, 102.6386034 34.0897381, 102.63863 34.0898152, 102.6385014 34.089847))",POINT (102.6385538 34.0897934),106.5,1146.0
,239,848364845,,yes,,,"POLYGON ((106.6176286 35.20579, 106.6181675 35.2058545, 106.6181865 35.2057484, 106.6176477 35.2056839, 106.6176286 35.20579))",POINT (106.6179076 35.2057692),589.1,6341.3
,240,588216259,,yes,,,"POLYGON ((103.7176055 36.0650647, 103.7177447 36.0650241, 103.7176001 36.0647005, 103.7174871 36.0647335, 103.7175373 36.0648457, 103.717511 36.0648534, 103.7176055 36.0650647))",POINT (103.71761 36.0648888),476.7,5131.6
,241,410811819,,yes,,,"POLYGON ((103.6909497 36.1060063, 103.6909837 36.1061455, 103.6929149 36.1058378, 103.6928809 36.1056986, 103.6909497 36.1060063))",POINT (103.6919323 36.105922),2786.0,29988.4
